Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
Kentavious Caldwell-Pope,DEN,31,76,54,22,31.6,111,2,6.2,9,1.3,26.6,0.6,16.9,9.7,8.3,9.2,33.6,0.114
Aaron Gordon,DEN,28,73,49,24,31.5,111.1,4.1,12.9,18.4,0.8,16.2,0.6,19.3,10,8,9.3,34.4,0.113
Jalen Brunson,NYK,27,77,49,28,35.4,112.6,3.1,8.8,12.8,0.9,16.1,0.2,5.8,10.3,9.3,10.6,35.3,0.113
Tyrese Maxey,PHI,23,70,43,27,37.5,113.2,3.2,8.5,12.8,1,15.7,0.5,9.6,10.4,10.7,12.5,39.7,0.113
Zavier Simpson,MEM,27,7,1,6,23.1,106.8,2.3,10.2,15.1,1,20,0.4,21.4,9.3,4.6,6.1,22.6,0.112
Tristan Vukcevic,WAS,21,10,3,7,15.3,98.8,3,16,24,0.5,18.5,0.7,41.2,5.5,5,4.3,18,0.112
Kevin Durant,PHX,35,75,44,31,37.2,113.3,6.1,15.5,22.9,0.9,15.8,1.2,27.7,14.2,11,11.3,39.9,0.111
Herbert Jones,NOP,25,76,46,30,30.5,111,2.6,8.4,12.1,1.4,26.3,0.8,25.3,9.5,7.7,8.1,29.2,0.111
Zion Williamson,NOP,23,70,42,28,31.5,111.6,4.1,12.7,18.5,1.1,19.1,0.7,20.5,10.6,8.5,9.8,30.9,0.111
Paul George,LAC,34,74,48,26,33.8,112.1,4.7,13.8,20.2,1.5,26.9,0.5,14,10.1,9.2,9.3,33,0.111
Kyrie Irving,DAL,32,58,39,19,35,112.6,4.2,11.6,17.5,1.3,25,0.5,12.2,10.1,10.3,10.1,36,0.111
Jaden McDaniels,MIN,23,72,48,24,29.2,110.4,2.3,7.8,11.5,0.9,19.2,0.6,17.3,9.9,7.9,7.9,28.1,0.11
Alex Caruso,CHI,30,71,34,37,28.7,110.6,3,10.3,15.4,1.7,34.2,1,33,8.9,8.1,7.5,26.1,0.11
Tobias Harris,PHI,31,70,41,29,33.8,112.4,5.3,15.6,23.2,1,17.6,0.7,14.7,9.7,9.1,10.8,35.6,0.11
Al Horford,BOS,38,65,51,14,26.8,109.5,5.1,17.8,25.5,0.6,16.7,1,25.8,7.4,7.1,6.5,26.3,0.109
Jaime Jaquez Jr.,MIA,23,75,44,31,28.2,110.4,2.7,9.4,13.8,1,24.2,0.3,12.9,9.1,7.9,7.4,27.2,0.108
Victor Wembanyama,SAS,20,71,19,52,29.7,111.2,8.4,27.3,38.9,1.2,27.4,3.6,70.8,11.7,8,8.6,32.4,0.107
CJ McCollum,NOP,32,66,42,24,32.7,112.2,3.7,11.6,16.4,0.9,17.3,0.6,19.2,9.9,8.3,9,32.1,0.107
Giannis Antetokounmpo,MIL,29,73,45,28,35.2,113.2,8.8,23.7,34.3,1.2,23.9,1.1,28.5,10.6,9.5,8.9,37,0.107
Luka Don?i?,DAL,25,70,46,24,37.5,113.8,8.4,21.8,32.2,1.4,25.7,0.5,13.5,11.1,10.4,12.6,39.5,0.106
Devin Booker,PHX,27,68,43,25,36,113.5,3.7,9.8,14.6,0.9,16.5,0.4,9.8,13,10.5,10.3,36.4,0.105
Sam Hauser,BOS,26,79,62,17,22,107.1,2.9,12.2,17.8,0.5,16.7,0.3,10.4,6.1,6.1,5,21.7,0.105
Caris LeVert,CLE,29,68,38,30,28.8,111.2,3.5,12.1,18.2,1.1,25.6,0.5,16.6,9.7,8.2,8.4,27.8,0.105
Brandon Ingram,NOP,26,64,38,26,32.9,112.6,4.4,13.3,18.9,0.8,14.9,0.6,18.8,10.8,8.7,9.5,32.2,0.104
Michael Porter Jr.,DEN,26,81,57,24,31.7,112.1,5.7,17.7,25.3,0.5,11.4,0.7,20.1,9.5,7.9,9.4,33.5,0.104
Brook Lopez,MIL,36,79,48,31,30.5,111.9,3.7,11,15.7,0.5,14.7,2.4,65.9,9.8,8.7,9.6,32.8,0.104
Draymond Green,GSW,34,55,33,22,27.1,110.7,5.9,20,28.8,1,24.7,0.9,31.1,9.5,6.9,8.6,26.2,0.103
Julius Randle,NYK,29,46,29,17,35.4,113.8,7,19.8,28.6,0.5,9.9,0.3,9,11.7,8.8,11.7,35.7,0.103
Isaac Okoro,CLE,23,69,41,28,27.3,110.7,2,7.2,10.7,0.8,20.2,0.5,18,9.9,6.9,7.9,26.8,0.102
